id,title,description,price,category,subcategory,image_filename,tags,available
juice-apple,Apple Juice,,60,Beverages,Juices,,,TRUE
juice-avocado,Avocado Juice,,119,Beverages,Juices,,,TRUE
juice-banana,Banana Juice,,50,Beverages,Juices,,,TRUE
milkshake-banana,Banana Milkshake,,70,Beverages,Milkshakes,,,TRUE
mocktail-berry-mary,Berry Mary,,89,Beverages,Mocktails,,,TRUE
mocktail-blackcurrant-love,Blackcurrant in Love,,89,Beverages,Mocktails,,,TRUE
milkshake-blackcurrant,Blackcurrant Milkshake,,80,Beverages,Milkshakes,,,TRUE
mocktail-blue-lagoon,Blue Lagoon,,89,Beverages,Mocktails,,,TRUE
milkshake-butterscotch,Butterscotch Milkshake,,90,Beverages,Milkshakes,,,TRUE
mocktail-chatka-orange,Chatka Orange,,99,Beverages,Mocktails,,,TRUE
milkshake-chocolate,Chocolate Milkshake,,80,Beverages,Milkshakes,,,TRUE
mocktail-cinderella,Cinderella,,89,Beverages,Mocktails,,,TRUE
milkshake-cold-coffee,Cold Coffee,,50,Beverages,Milkshakes,,,TRUE
juice-dragon-fruit,Dragon Fruit Juice,,80,Beverages,Juices,,,TRUE
milkshake-dryfruit,Dry Fruit Milkshake,,99,Beverages,Milkshakes,,,TRUE
mocktail-fizzy-tulip,Fizzy Tulip,,89,Beverages,Mocktails,,,TRUE
juice-fresh-lemon,Fresh Lemon Juice,,50,Beverages,Juices,,,TRUE
juice-mosambi,Fresh Mosambi Juice,,50,Beverages,Juices,,,TRUE
juice-grape,Grape Juice,,50,Beverages,Juices,,,TRUE
milkshake-kitkat,Kit Kat Milkshake,,80,Beverages,Milkshakes,KitKat-Milkshake.png,,TRUE
juice-lime-soda,Lime Soda (sweet/salt),,50,Beverages,Juices,,,TRUE
milkshake-mango,Mango Milkshake,,90,Beverages,Milkshakes,,,TRUE
mocktail-mint-lemon,Mint Lemon,,69,Beverages,Mocktails,,,TRUE
juice-mixed-fruit,Mixed Fruit Juice,,80,Beverages,Juices,,,TRUE
juice-muskmelon,Muskmelon Juice,,50,Beverages,Juices,,,TRUE
juice-orange,Orange Juice,,50,Beverages,Juices,,,TRUE
milkshake-oreo,Oreo Milkshake,,90,Beverages,Milkshakes,,,TRUE
juice-pineapple,Pineapple Juice,,50,Beverages,Juices,Pineapple-Juice.png,,TRUE
juice-pomegranate,Pomegranate Juice,,60,Beverages,Juices,Pomegranate-Juice.png,,TRUE
milkshake-strawberry,Strawberry Milkshake,,80,Beverages,Milkshakes,Strawberry-Milkshake.png,,TRUE
mocktail-sunrise,Sunrise,,89,Beverages,Mocktails,,,TRUE
mocktail-tender-coconut,Tender Coconut,,99,Beverages,Mocktails,,,TRUE
milkshake-vanilla,Vanilla Milkshake,,70,Beverages,Milkshakes,,,TRUE
mocktail-virgin-margarita,Virgin Margarita,,99,Beverages,Mocktails,,,TRUE
mocktail-virgin-mojito,Virgin Mojito,,69,Beverages,Mocktails,,,TRUE
mocktail-virgin-pina-colada,Virgin Pina Colada,,79,Beverages,Mocktails,,,TRUE
juice-watermelon,Watermelon Juice,,50,Beverages,Juices,Watermelon-Juice.png,,TRUE
extra-biryani-rice,Extra Biryani Rice,Extra portion of biryani rice,80,Biryani,Nizami Chicken Dum Biryani,,,TRUE
extra-one-chicken-piece,Extra One Chicken Piece,Extra chicken Piece,60,Biryani,Nizami Chicken Dum Biryani,Tandoori-Chicken.png,,TRUE
fish-biryani,Fish Biryani,Spiced fish biryani,250,Biryani,Seafood Biryani,Fish-Biryani.png,,TRUE
